별점,리뷰 내용,날짜
4,다양한 파이와 쿠키를 즐길 수 있는 신촌 카페 오랫동안 사랑을 받아온 공간으로 알고 있는데 인테리어가 아기자기 하다 1층은 테이블이 몇개 없는데 2층까지 있음 파이와 쿠키 종류가 굉장히 다양한데 제철 과일도 활용해서 좋음 무화과 파이와 초코 쿠키 라떼를 주문했는데 무화과가 맛있는 무화과였음 파이 시트도 맛있음 초코 쿠키도 진하고 고소한 맛 라떼도 맛있었음. 라떼는 산미가 느껴지지 않는 진하고 고소한 원두였음 파이와 쿠키 모두 추천 공간도 예쁘고 디저트도 맛있어서 데이트하기 좋은 공간일듯 바빠서 정신이 없는데도 직원들이 친절함,2024년 10월 07일
4,사람 많다. 파이 비싼편인데 장사잘됨. 레몬 디저트 조아하면 레몬파이 추천,1월 2일
5,컨셉이 눈에 띄고 귀여움. 음료는 ㅂㄹ인데 파이는 다양하고 맛남,5일 전
4,맛있는 타르트 집입니다 잘 돼서 2층으로 확장 이전했네요 타르트는 여전히 맛있습니다,2024년 12월 01일
5,주말에는 자리잡기 어려워요** 파이맛집⭐️⭐️⭐️⭐️⭐️가격도 다른 동네 감성카페에 비해 이정도면 조금 싼 편이라고 생각해요 파이 한입씩 먹고 감탄하면서 매번 먹습니다 음료도 맛있어요 ㅜ로얄밀크티 진하고 맛있네요,2024년 03월 18일
4,다양한 종류의 파이를 팔고 있어요. 많이 달지 않아서 선물용으로도 좋을 것 같아요. 겉보기보다 매장 내부에 좌석 많아요.,2024년 08월 20일
5,"신촌에서 꼭 가야할 맛집을 꼽자면 단연 파이홀이다 추천에서 실패한 적이 없음… 다들 맛있다고 함 증축 공사까지 했는데 언제 가도 손님이 바글바글하다. 그래도 자리가 꼭 하나쯤은 있어서 방문 시 부담도 조금 덜하다는 점이 매력적이다. 파이가 진짜 맛있다. 가격이 저렴한 편은 아닌데 맛이 너무 좋아서 그냥 불만이 없음… 라인업도 다양한 편이고 뭘 먹어도 실패하지 않는다. 빵 맛이 진하고 위에 올라간 토핑이 진하고 되게 성의껏 만든 느낌이라서 만족스러움 라벤더 라떼는 나같이 라벤더 향 좋아하는 사람에게는 최고이다. * 추천 메뉴: 파이 대다수, 라벤더라떼",2023년 11월 20일
3,기대를 너무 많이 해서 그런가 생각보다 그렇게까지 맛있는지는 잘 모르겠더라고요ㅠ개인적으로 좀 많이 단 느낌..,2024년 09월 01일
5,파이가 진짜 맛있어요…. 파이 도장깨기하러 또 가고싶른곳! 사람 많아요,2024년 10월 20일
4,가게분위기는 귀엽지만 편하진 않았구요 그치만 파이가 맛있어서 인기많은이유를 알겠네요!!,2024년 08월 28일
5,맛있는 파이 먹으러 왔어요 평소 좋아하는 비스킷도 있네요 바닐라라떼는 좀 밍밍했어요 커피맛이 개선되면 더 좋을 것 같아요,2024년 04월 16일
5,"로투스파이랑 레몬파이를 먹었는데, 파이를 디저트로 제대로 먹어본 적은 처음이었고 굉장히 맛있어서 기분이 좋았고 양도 생각보다 많아서 좋았어요.",2024년 02월 26일
5,디저트가 맛있어서 종종 오는 곳이에요 인테리어가 예뻐 사진이 잘 나와서 좋아요 파이랑 스콘 둘 다 맛있었습니다!,2024년 04월 16일
5,워낙 역사있는 유명한 카페라서 그런지 사람이 많다. 2층까지 있는 넓고 예쁜 카페. 복숭아에 달콤함과 요거트에 상큼함이 어우러지면서 쫀득한 시트랑 궁합이 잘 어울림. 이야기하기도 좋고 아메리카노도 고소하고 담백하며 맛있음. 진짜레몬에이드는 정말 생레몬을 갈아넣은 듯한 맛이 남. 엄청 상콤하다. 이 카페의 아이스 음료가 좋은 점은 각얼음이 아닌 살얼음으로 음료에 담아줘서 음료의 맛을 보존하되 온도는 시원하게 유지하면서 마실 수 있다. 바쁘신데도 불구하고 직원분들이 친절하심. 아쉬운 건 2층에는 정수기가 없어 물을 마시려면 1층까지 내려가야하지만 그 점만 제외하면 완벽함.,2023년 08월 03일
5,"처음 파이홀을 알았던건 몇년전 좀더 신촌 위쪽의 연대에서 연희동 가는길 건너편에 있을때였다 혼자서도 가고 파이홀 좋아하시는 와잎님과도 가고. 어느새 공주님이 태어나 공주와 왔을땐 지금 자리로 이사를 한 후고, 간만에 신촌에 다같이 산책와서 들렀다. 인기가 많은지라 좌석을 겨우잡고 엄빠는 커피 공주는 쿠키. 지난번에 온게 오래전인데 1층만 쓰고 있었고 안쪽으로 따닥따닥 좌석들이 모여있었는데 어느새 2층까지 연결되어 좌석이 많았고 1층도 그렇지만 2층이 아주 이쁘게 꾸며져있었다 커피맛도 맛있고 공주님이 쿠키를 금방 다 먹어버렸다ㅋ 파이류를 먹었어야하는데 밥먹고 온지라 아쉬움이 남는다ㅋ 담번에 꼭 먹고말테닷ㅋ",2022년 11월 08일
