별점,리뷰 내용,날짜
별표 4개,"다양한 파이종류를 판매하는 카페입니다.
2층까지 구성되어있으며 주말에는 이 특색있는 가게를 방문하기 위해 많은 사람들이 방문하는 듯 해요.
디저트 타르트같은 파이종류, 오리지널느낌의 클래식한 파이, 식사로 가능한 파이류가 있으며, 콘과 다양한 비스킷도 판매하고있어요.
저와 지인은 클래식한 느낌의 애플 크럼블파이 하나와 바닐라라떼 (아이스), 솔티카라멜라떼(핫) 으로 주문했어요.

▶️ 애플크럼블파이
▶️ 바닐라라떼 아이스
▶️ 솔티카라멜 핫

애플크럼블은 이름애 걸맞게 넉넉한 양의 애플과 시나몬 파우더가 인상적이었어요. 시나몬의 향을 좋아하는지라 애플파이랑 궁합이 더 잘 느껴지는 것 같아서 좋았습니다. 타 카페의 애플파이와 비교했을 때 엄청 달지 않아서 사과 특유의 달달함을 느낄 수 있어서 좋은 인상이었어요.
아쉬운점은 바닐라라떼였는데요, 여기는 얼음을 간얼음을 사용하는 점이에요. 개인마다 취향차이긴 하겠지만, 음료를 상대적으로 빨리 마시는 스타일이 아닌 사람에게는 단점이 될 수 있어요. 특히 커피 자체가 라떼였음에도 불구하고 우유량이 상대적으로 적게 느껴저서 라떼가 밍밍하게 느껴졌으며, 원두도 맛 자체는 크게 나지 않아서 무난한 느낌이었어요. 산미가 없어서 제 스타일에는 맞는 원두인 듯해요. 다만 커피맛이 연합니다.
솔티카라멜 라떼는 달달하고 동일한 느낌을 받았으나, 무난해서 괜찮았어요.
주말에 사람이 많아서 직원들이 힘들 법 하지만, 그래도 친절하게 응대해주셔서 좋아요. 다만 손님들이 너무 많아서 빈자리를 찾기 힘들고, 2층의 경우 테이블 정리가 셀프이기 때문에 조금 귀찮을 순 있어요.",2주 전
별표 4개,"유명한 파이맛집. 외국 가정집에 온 것 같은 분위기, 피크닉 나온 느낌도 난다. 주말에 방문하니 좀 소란스럽고 테이블 정리가 잘 안되는 건 아쉬운 점. 커피맛은 좀 아쉽지만 파이는 인정👍🏼 계절 과일에 따라 나오는 복숭아파이, 무화과 파이도 상큼, 달달, 신선해서 좋았고 베스트 메뉴인 얼그레이 가나슈도 커피와 먹기 좋았음.",5달 전
별표 5개,신촌의 파이는 여기! 거의 10년이상 된 파이 전문 키페로 파이 하나하나 제대로 만들었고 퀄리티가 상당히 좋은 파이입니다. 파이 끝 부분을 두툼하게 살려서 더욱 파이 다운 파이맛집입니다.,2달 전
별표 5개,"더 파이홀.

파이 종류가 많다. 시즌에 따라 다른 걸로 보인다.
마실 걸로는 마르코폴로와 타이라임를 시켰다.
마르코폴로는 은은한 꽃과 과일향이라면 타이라임은 타이티에 라임 강하게 섞인 맛이다. 개인적으로 둘 다 맛있다.
파이는 살구자두통밀파이와 피스타치오체리파이를 시켰다.
살구자두통밀파이는 자두의 상큼함과 부드럽고 달달한 크림 맛이라면 피스타치오체리파이는 피스타치오의 고소하고 담백한 맛에 약간은 느끼할 수 있는 부분을 체리의 상큼함이 보완해준다. 둘 다 맛있다.
파이 퀼리티도 좋고 마실 것도 맛이 괜찮다.
다른 파이도 먹어보고 싶다.

가정적이면서도 피크닉과 같은 분위기가 파이와 잘 어울린다. 1층과 2층이 있다.
화장실은 2층 가는 계단 맞은 편에 있다.

재방문 의사) 있음.

2024.06.01 - 방문",7달 전
별표 5개,"맛있었던 타르트집! 맛도 다양하고 좋았습니다
매장 2층까지 좌석이 있습니다 조금 정신없긴 했어요 대학생들이 포장도 많이 하는곳입니다",6달 전
별표 5개,"파이가 진짜 맛있어서 먹고 또 사가요~
인테리어도 너무 깜찍하니 이뻐요^^",2달 전
별표 5개,"곧 있으면 신촌의 터줏대감 노릇을 하게 될 집.
새로운 파이가 계속해서 업데이트되고 하나하나 발군입니다.
아시안들이 하는 최고의 찬사 '달지않고 맛있다'의 표본 같은 가게 입니다.",2달 전
별표 5개,"파이종류가 많고 진짜 엄청 맛잇어요
연말이라  자리도없고 웨이팅까지 많아서
테익아웃햇는데 다음엔 매장서 먹어보고싶어요",2주 전
별표 5개,전 여친과 갔는데 좋아하시네요!! ㅋㅋㅋ 달달하니 좋았어요!! 여친 일때는 먹고 보내면 되는데 이제는 같이 집에가는 사이라 잘 보여야해서 미리 검색하고 다녀왔습니다,1년 전
별표 5개,아주 맜있는 파이집! 1분 거리 담산에서 매운등갈비를 먹고 찾아온 카페다. 생각 그 이상으로 맛있고 자극적이지도 않다. 무화과파이를 먹었는데 무화과는 신선하고 살짝 베이스로 깔린 크림도 달지 않고 맛있다. 기본이 되는 파이도 부드럽고 달지 않아 웬지 건강해지는 기분이다. 강력 추천한다.,1년 전
별표 4개,"2021/6

얼그레이랑 말차 파이가 best 1,2라는데
얼그레이는 판매완료 되어서 못먹었고 말차랑 과일치즈파이 먹었어요!

생과일치즈파이(?)는 좀 그저 그랬고 ㅠㅠ 말차는 진짜 엄청 맛이 진하고 좋았어요!
담에 얼그레이도 먹어보고 싶네요...
일요일 저녁에도 사람으로 꽉 차 있어요😯",3년 전
별표 4개,레몬머랭 주문했습니다 상큼하니 달달한 레몬크림에 바삭한 타르트가 잘어울리고 맛있었어요 인테리어도 멋지고 2층까지 있는데 넓고 쾌적해서 좋았어요,2년 전
